"住所CD","都道府県CD","市区町村CD","町域CD","郵便番号","事業所フラグ","廃止フラグ","都道府県","都道府県カナ","市区町村","市区町村カナ","町域","町域カナ","町域補足","京都通り名","字丁目","字丁目カナ","補足","事業所名","事業所名カナ","事業所住所","新住所CD"
812000000,40,40132,401320000,"812-0000",0,0,"福岡県","フクオカケン","福岡市博多区","フクオカシハカタク",,"　","（該当なし）",,,,,,,,
812088500,40,40132,401320001,"812-0885",0,0,"福岡県","フクオカケン","福岡市博多区","フクオカシハカタク","相生町","アイオイマチ",,,,,,,,,
812085100,40,40132,401320002,"812-0851",0,0,"福岡県","フクオカケン","福岡市博多区","フクオカシハカタク","青木","アオキ",,,,,,,,,
812088100,40,40132,401320003,"812-0881",0,0,"福岡県","フクオカケン","福岡市博多区","フクオカシハカタク","井相田","イソウダ",,,,,,,,,
812952000,40,40132,401320003,"812-9520",1,0,"福岡県","フクオカケン","福岡市博多区","フクオカシハカタク","井相田","イソウダ",,,,,,"トヨタ部品福岡共販　株式会社","トヨタブヒンフクオカキヨウハン　カブシキガイシヤ","井相田２丁目７－３５",
812088800,40,40132,401320004,"812-0888",0,0,"福岡県","フクオカケン","福岡市博多区","フクオカシハカタク","板付","イタヅケ",,,,,,,,,
812950200,40,40132,401320004,"812-9502",1,0,"福岡県","フクオカケン","福岡市博多区","フクオカシハカタク","板付","イタヅケ",,,,,,"株式会社　翔薬　板付分室","カブシキガイシヤ　シヨウヤク　イタヅケブンシツ","板付４丁目７－４３",
812086100,40,40132,401320005,"812-0861",0,0,"福岡県","フクオカケン","福岡市博多区","フクオカシハカタク","浦田","ウラタ",,,,,,,,,
812000400,40,40132,401320006,"812-0004",0,0,"福岡県","フクオカケン","福岡市博多区","フクオカシハカタク","榎田","エノキダ",,,,,,,,,
